---------- KRW-BTC ---------
------- 3 -------
0.2 0.762642
0.3 0.702906
0.4 0.904294
0.5 0.844596
0.6 1.010674
0.7 0.981694
0.8 0.954255
0.9 0.928238
high k
0.6 1.010674

KRW-STORJ 1.1205606008037408
---------- KRW-GRS ---------
------- 3 -------
0.1 1.057394
0.2 1.035958
0.3 1.015336
0.4 0.995483
0.5 0.976357
0.6 0.957917
0.7 0.940129
0.8 0.922957
0.9 0.906371
high k
0.1 1.057394
------- 4 -------
0.1 1.007048
0.2 0.968201
0.3 0.931493
0.4 0.896772
0.5 0.863897
0.6 0.957917
0.7 0.940129
0.8 0.922957
0.9 0.906371
high k
0.1 1.007048
------- 5 -------
0.1 0.987024
0.2 0.909283
0.3 0.931493
0.4 0.896772
0.5 0.863897
0.6 0.957917
0.7 0.940129
0.8 0.922957
0.9 0.906371
high k
0.1 0.987024
------- 6 -------
0.1 0.915436
0.2 0.805604
0.3 0.789780
0.4 0.896772
0.5 0.863897
0.6 0.957917
0.7 0.940129
0.8 0.922957
0.9 0.906371
high k
0.6 0.957917
------- 7 -------
0.1 0.616883
0.2 0.805604
0.3 0.789780
0.4 0.896772
0.5 0.863897
0.6 0.957917
0.7 0.940129
0.8 0.922957
0.9 0.906371
high k
0.6 0.957917

KRW-GRS 1.0070477011572263
---------- KRW-REP ---------
------- 3 -------
0.1 1.085497
0.2 1.055298
0.3 1.026664
0.4 0.999476
0.5 0.973628
0.6 0.949022
0.7 0.925571
0.8 0.903196
0.9 0.881824
high k
0.1 1.085497
------- 4 -------
0.1 1.074084
0.2 1.031495
0.3 0.991426
0.4 0.953678
0.5 0.918067
0.6 0.884433
0.7 0.852625
0.8 0.822512
0.9 0.793972
high k
0.1 1.074084
------- 5 -------
0.1 1.074084
0.2 1.031495
0.3 0.991426
0.4 0.953678
0.5 0.918067
0.6 0.884433
0.7 0.852625
0.8 0.822512
0.9 0.793972
high k
0.1 1.074084
------- 6 -------
0.1 1.007088
0.2 0.933074
0.3 0.866192
0.4 0.805590
0.5 0.750536
0.6 0.884433
0.7 0.852625
0.8 0.822512
0.9 0.793972
high k
0.1 1.007088
------- 7 -------
0.1 0.713127
0.2 0.933074
0.3 0.866192
0.4 0.805590
0.5 0.750536
0.6 0.884433
0.7 0.852625
0.8 0.822512
0.9 0.793972
high k
0.2 0.933074

KRW-REP 1.0740839095854864
---------- KRW-EMC2 ---------
------- 3 -------
0.1 1.090533
0.2 1.074161
0.3 1.058252
0.4 1.042787
0.5 1.027748
0.6 1.013117
0.7 0.998878
0.8 0.985015
0.9 0.971514
high k
0.1 1.090533
------- 4 -------
0.1 0.995378
0.2 1.074161
0.3 1.058252
0.4 1.042787
0.5 1.027748
0.6 1.013117
0.7 0.998878
0.8 0.985015
0.9 0.971514
high k
0.2 1.074161
------- 5 -------
0.1 0.927289
0.2 0.941654
0.3 0.875718
0.4 1.042787
0.5 1.027748
0.6 1.013117
0.7 0.998878
0.8 0.985015
0.9 0.971514
high k
0.4 1.042787
------- 6 -------
0.1 0.870079
0.2 0.845288
0.3 0.753322
0.4 0.860975
0.5 0.815615
0.6 0.773823
0.7 0.998878
0.8 0.985015
0.9 0.971514
high k
0.7 0.998878
------- 7 -------
0.1 0.870079
0.2 0.845288
0.3 0.753322
0.4 0.860975
0.5 0.815615
0.6 0.773823
0.7 0.998878
0.8 0.985015
0.9 0.971514
high k
0.7 0.998878

KRW-EMC2 1.0741610738255034
---------- KRW-ADA ---------
------- 3 -------
0.1 1.038083
0.2 1.025347
0.3 1.012907
0.4 1.000751
0.5 0.988869
0.6 0.977254
0.7 0.965895
0.8 0.954785
0.9 0.943915
high k
0.1 1.038083
------- 4 -------
0.1 0.968155
0.2 0.946327
0.3 0.925208
0.4 0.904768
0.5 0.988869
0.6 0.977254
0.7 0.965895
0.8 0.954785
0.9 0.943915
high k
0.5 0.988869
------- 5 -------
0.1 0.872178
0.2 0.946327
0.3 0.925208
0.4 0.904768
0.5 0.988869
0.6 0.977254
0.7 0.965895
0.8 0.954785
0.9 0.943915
high k
0.5 0.988869
------- 6 -------
0.1 0.848943
0.2 0.901073
0.3 0.925208
0.4 0.904768
0.5 0.988869
0.6 0.977254
0.7 0.965895
0.8 0.954785
0.9 0.943915
high k
0.5 0.988869
------- 7 -------
0.1 0.692028
0.2 0.728713
0.3 0.925208
0.4 0.904768
0.5 0.988869
0.6 0.977254
0.7 0.965895
0.8 0.954785
0.9 0.943915
high k
0.5 0.988869

KRW-ADA 0.98886925795053
---------- KRW-SBD ---------
------- 3 -------
0.1 1.056834
0.2 1.022520
0.3 0.990270
0.4 0.959903
0.5 0.931259
0.6 0.904194
0.7 0.878583
0.8 0.854310
0.9 0.831274
high k
0.1 1.056834
------- 4 -------
0.1 1.019086
0.2 0.970861
0.3 0.926003
0.4 0.884198
0.5 0.845167
0.6 0.808665
0.7 0.774474
0.8 0.742398
0.9 0.712264
high k
0.1 1.019086
------- 5 -------
0.1 0.923778
0.2 0.970861
0.3 0.926003
0.4 0.884198
0.5 0.845167
0.6 0.808665
0.7 0.774474
0.8 0.742398
0.9 0.712264
high k
0.2 0.970861
------- 6 -------
0.1 0.923778
0.2 0.970861
0.3 0.926003
0.4 0.884198
0.5 0.845167
0.6 0.808665
0.7 0.774474
0.8 0.742398
0.9 0.712264
high k
0.2 0.970861
------- 7 -------
0.1 0.923778
0.2 0.970861
0.3 0.926003
0.4 0.884198
0.5 0.845167
0.6 0.808665
0.7 0.774474
0.8 0.742398
0.9 0.712264
high k
0.2 0.970861

KRW-SBD 1.0190860330270415
---------- KRW-POWR ---------
------- 3 -------
0.1 1.061917
0.2 1.044196
0.3 1.027031
0.4 1.010396
0.5 0.994268
0.6 0.978623
0.7 0.963439
0.8 0.948697
0.9 0.934378
high k
0.1 1.061917
------- 4 -------
0.1 1.005952
0.2 0.968849
0.3 0.933705
0.4 0.900386
0.5 0.994268
0.6 0.978623
0.7 0.963439
0.8 0.948697
0.9 0.934378
high k
0.1 1.005952
------- 5 -------
0.1 0.942713
0.2 0.879921
0.3 0.822537
0.4 0.900386
0.5 0.994268
0.6 0.978623
0.7 0.963439
0.8 0.948697
0.9 0.934378
high k
0.5 0.994268
------- 6 -------
0.1 0.942713
0.2 0.879921
0.3 0.822537
0.4 0.900386
0.5 0.994268
0.6 0.978623
0.7 0.963439
0.8 0.948697
0.9 0.934378
high k
0.5 0.994268
------- 7 -------
0.1 0.655667
0.2 0.605748
0.3 0.560515
0.4 0.607412
0.5 0.664075
0.6 0.647181
0.7 0.630911
0.8 0.615234
0.9 0.600122
high k
0.5 0.664075

KRW-POWR 1.0059516650222389
